#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
66,Sld,,155,Vodden,St,E,Brampton,Brampton N  ,"$799,000","$866,600",Semi-Detac,Bungalow-R,4,1,2,N,1,Detach,Cen,Gas,17-02-2021,22-02-2021,RE/MAX REAL,HOMELIFE/MIRA,W5117756,,
67,Sld,,22,Cheryl,Crt,,Brampton,Brampton N  ,"$799,000","$902,000",Semi-Detac,Backsplit,3,1,3,y,1,Attach,Cen,Gas,22-02-2021,23-02-2021,CENTURY 21,SAVE MAX SUPR,W5123617,,
68,Sld,,4,Carter,Dr,,Brampton,Brampton N  ,"$799,000","$860,000",Semi-Detac,Bungalow-R,3,1,2,N,1,Built-,Cen,Gas,02-03-2021,09-03-2021,SAVE MAX SU,SAVE MAX SUPR,W5133022,,
69,Sld,,16,Golding,Ave,,Brampton,Brampton E ,"$799,000","$880,000",Detached,Bungalow-R,3,2,2,N,1,Attach,Cen,Gas,02-03-2021,07-03-2021,HOMELIFE/MI,SAVE MAX ACHI,W5133201,,
70,Sld,,255,Pressed Br,Dr,,Brampton,Brampton N  ,"$799,000","$855,000",Semi-Detac,2-Storey,3,0,3,y,1,Attach,Cen,Gas,05-03-2021,31-03-2021,HOMELIFE/MI,HOMELIFE SILV,W5138783,,
71,Sld,N,45,Skelton,Blvd,,Brampton,Brampton N  ,"$799,000","$810,000",Semi-Detac,Bungalow-R,3,2,2,N,2,Attach,Cen,Gas,07-03-2021,17-03-2021,HOMELIFE G1,RE/MAX REALTY,W5141009,,
72,Sld,,4,Cornwall,Rd,,Brampton,Brampton E,"$799,000","$840,000",Detached,Bungalow,3,1,2,N,1,None,Cen,Gas,08-03-2021,17-03-2021,CENTURY 21,SUTTON GROUP,W5142240,,
73,Sld,,18,Pleaseley,Rd,,Brampton,Brampton E  ,"$799,000","$950,000",Detached,Bungalow,3,2,2,N,1,Attach,Cen,Gas,15-03-2021,21-03-2021,HOMELIFE/MI,KELLER WILLIA,W5152197,,
74,Sld,,68,Ardglen,Dr,,Brampton,Brampton E ,"$799,000","$801,000",Semi-Detac,Backsplit,4,0,2,y,1,None,Cen,Gas,15-03-2021,13-04-2021,RIGHT AT HO,RE/MAX REALTY,W5152702,,
75,Sld,,484,Bartley Bu,Pkwy,,Brampton,Brampton E  ,"$799,000","$799,000",Detached,Backsplit,3,0,2,N,1,Attach,Cen,Gas,15-03-2021,24-03-2021,RE/MAX WEST,RE/MAX GOLD R,W5153520,,
