#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1087,Sld,,76,Twin Willo,Cres,,Brampton,Brampton N," $949,990 "," $948,700 ",Detached,Bungalow,3,1,3,Y,1,Attach,Cen,Gas,3-30-21,4-2-21,RE/MAX REAL,SUTTON GROUP,W5173090
1088,Sld,,48,Dunblaine,Cres,,Brampton,Brampton C," $949,999 "," $949,000 ",Detached,Bungalow-R,3,3,2,N,2,None,Cen,Gas,3-9-21,3-27-21,CENTURY 21,CENTURY 21 GR,W5144104
1089,Sld,,10,Dowling,Cres,,Brampton,Brampton C," $959,999 "," $959,000 ",Detached,Bungalow,3,2,3,N,1,Built-,Cen,Gas,3-30-21,4-1-21,HOMELIFE/MI,RE/MAX GOLD R,W5172774
1090,Sld,,12,Hillpath,Cres,,Brampton,Brampton N," $969,900 "," $1,055,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,1-25-21,1-27-21,RE/MAX REAL,RE/MAX REALTY,W5093029
1091,Sld,,109,Dearbourne,Blvd,,Brampton,Brampton C," $979,900 "," $1,125,000 ",Detached,Bungalow,3,4,4,Y,1,Attach,Cen,Gas,2-19-21,2-24-21,CENTURY 21,CENTURY 21 PE,W5121168
1092,Sld,,49,Baybrook,Rd,,Brampton,Brampton N," $979,900 "," $975,100 ",Detached,2-Storey,3,0,3,Y,1,Detach,Cen,Gas,4-27-21,5-6-21,HOMELIFE GA,RE/MAX REALTY,W5210554
1093,Sld,,18,Duncannon,Cres,,Brampton,Brampton C," $979,999 "," $960,000 ",Detached,Bungalow,3,0,3,N,1,Attach,Cen,Gas,3-29-21,4-11-21,HOMELIFE/MI,EXECUTIVE REA,W5171298
1094,Sld,,7,Drum Oak,Cres,,Brampton,Brampton C," $990,000 "," $990,000 ",Detached,Bungalow-R,3,2,3,N,1,Attach,Cen,Gas,4-16-21,4-16-21,IPRO REALTY,CENTURY 21 EM,W5198639
1095,Sld,,18,Kendra,Crt,,Brampton,Brampton N," $997,900 "," $1,130,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,3-6-21,3-12-21,RIGHT AT HO,RIGHT AT HOME,W5140256
1096,Sld,,12,Archer,Crt,,Brampton,Brampton N," $999,000 "," $1,147,000 ",Detached,Bungalow,3,0,2,Y,1,Built-,Cen,Gas,1-5-21,1-8-21,ROYAL LEPAG,ROYAL LEPAGE,W5075357
1097,Sld,,18,Woodcreek,Dr,,Brampton,Brampton N," $999,000 "," $1,050,000 ",Detached,Bungalow-R,3,2,3,Y,1,Attach,Cen,Gas,3-8-21,3-8-21,RE/MAX REAL,TFN REALTY IN,W5141310
1098,Sld,,52,Kenpark,Ave,,Brampton,Brampton N," $999,000 "," $1,299,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,3-16-21,3-27-21,RE/MAX REAL,RE/MAX REALTY,W5152946
