#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Sold Price,Type,Style,Br," ""+""",Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
184,Sld,,8649,Mississaug,Rd,,Brampton,Bram West,"$18,95,000","$17,90,000",Detached,Bungalow,3,1,3,N,1,Attach,Cen,Gas,10-02-2021,26-02-2021,RE/MAX REAL,KING REALTY I,W5110439
185,Sld,,7749,Churchvill,Rd,,Brampton,Bram West,"$19,00,000","$18,30,000",Detached,2-Storey,3,0,2,y,1,Detach,Cen,Gas,05-01-2021,19-01-2021,RE/MAX REAL,RE/MAX REALE,W5075933
186,Sld,,8586,Mississaug,Rd,,Brampton,Bram West,"$19,49,000","$19,00,000",Detached,Sidesplit,4,1,4,y,1,Detach,Cen,Gas,18-01-2021,28-01-2021,RE/MAX REAL,HOMELIFE/MIRA,W5086838
187,Sld,,9,Port Hope,Hllw,,Brampton,Bram West,"$19,49,900","$19,00,000",Detached,2-Storey,5,0,4,y,1,Built-,Cen,Gas,17-01-2021,25-01-2021,ROYAL STAR,EXECUTIVE REA,W5088391
188,Sld,N,3,Port Hope,Hllw,,Brampton,Bram West,"$19,88,000","$19,50,000",Detached,2-Storey,4,3,6,y,1,Built-,Cen,Gas,29-01-2021,02-02-2021,RE/MAX REAL,RE/MAX REALE,W5097959
189,Sld,,42,Dancing Wa,Rd,,Brampton,Bram West,"$19,99,000","$20,00,000",Detached,2-Storey,5,2,7,y,1,Attach,Cen,Gas,21-01-2021,22-01-2021,AIMHOME REA,FORTUNE HOMES,W5090148
190,Sld,N,2,Tammy,Dr,,Brampton,Bram West,"$20,74,990","$20,00,000",Detached,2-Storey,5,0,4,y,1,Built-,Cen,Gas,23-02-2021,27-02-2021,NEW VENTURE,IPRO REALTYL,W5125373
191,Sld,,21,Tammy,Dr,,Brampton,Bram West,"$21,50,000","$21,00,000",Detached,2-Storey,4,1,5,y,1,Built-,Cen,Gas,04-01-2021,07-01-2021,CENTURION R,CENTURION REA,W5078383
192,Sld,,22,Port Hope,Hllw,,Brampton,Bram West,"$21,99,900","$21,17,500",Detached,2-Storey,4,0,5,y,1,Built-,Cen,Gas,06-09-2020,19-01-2021,RE/MAX REAL,ROYAL LEPAGE,W4900383
193,Sld,,11,Gladiolus,St,,Brampton,Bram West,"$22,20,000","$21,00,000",Detached,2-Storey,5,0,6,y,1,Built-,Cen,Gas,17-02-2021,28-02-2021,ROYAL ELITE,RE/MAX GOLD R,W5117446
